split,global_index,inchi_key,smiles,formula,target_value
train,19,ACYNLGLELDEJTC-UHFFFAOYSA-N,N#Cc1ccc(C2=C(c3ccc(C#N)[nH]3)C(=O)c3nc(C#N)c(C#N)nc3C2=O)[nH]1,,1.79
train,4006,CERNXSRWYBBWEI-FMQUCBEESA-N,O=[N+]([O-])C1=CC=C(c2ccc(N=Nc3ccc(C4=CC=C([N+](=O)[O-])C4)o3)o2)C1,,1.02
train,1007,HNIAATXNUWKFSQ-UHFFFAOYSA-N,O=C1C(n2cc([N+](=O)[O-])nn2)=C(n2cc([N+](=O)[O-])nn2)C(=O)c2nccnc21,,3.47
train,518,DOFFRGNXVBFYTC-UHFFFAOYSA-N,N#Cc1cc(C#N)c2c(n1)C(=O)C(n1ccc3ccccc31)=C(n1ccc3ccccc31)C2=O,,1.33
train,4142,GAIWUBAQTJDEGZ-ISLYRVAYSA-N,Oc1ccc(-c2ccc(N=Nc3ccc(-c4ccc(O)s4)o3)o2)s1,,0.4
train,3497,XIXHJJSNXIGZKR-UHFFFAOYSA-N,N#Cc1nnc(C2=CC(=O)c3nc(C#N)c(C#N)nc3C2=O)nn1,,2.88
train,1546,JZUPXSUJBFNLDT-UHFFFAOYSA-N,N#Cc1nc2c(nc1C#N)C(=O)C(n1cc([N+](=O)[O-])c3ccccc31)=C(n1cc([N+](=O)[O-])c3ccccc31)C2=O,,2.09
train,1694,KRVIFIVWLQMJEG-UHFFFAOYSA-N,N#CC#CC1=C(C#CC#N)C(=O)c2nc(C#N)cnc2C1=O,,3.41
train,1050,HSUUKKXIEAATCE-UHFFFAOYSA-N,N#Cc1nc2c(nc1C#N)C(=O)C(c1nc(S)co1)=C(c1nc(S)co1)C2=O,,1.82
train,3965,BHKKWVYOZWDYID-VHXPQNKSSA-N,O=[N+]([O-])c1c[nH]c(-c2ccc(N=Nc3ccc(-c4cc([N+](=O)[O-])c[nH]4)cc3)cc2)c1,,1.2
train,2349,OKRWMEZGVURRNU-UHFFFAOYSA-N,N#Cc1cnc2c(n1)C(=O)C=C(c1ncco1)C2=O,,2.48
train,823,GQBGQGCEKNYXQK-UHFFFAOYSA-N,CN(C)c1cnc(C2=CC(=O)c3ncc(C#N)c(C#N)c3C2=O)o1,,1.15
train,144,ARLYEEQPLRIKTF-UHFFFAOYSA-N,Cn1c(S)ccc1C1=CC(=O)c2nc(C#N)cc(C#N)c2C1=O,,1.26
train,1858,MBBZXEZANSGQGL-UHFFFAOYSA-N,COc1cnc2c(c1)C(=O)C(C#CO)=CC2=O,,2.28
train,1037,HQYQXEWWUKULTM-UHFFFAOYSA-N,N#Cc1cc2c(nc1C#N)C(=O)C=C(c1ccc(O)o1)C2=O,,1.56
train,3645,YAQLVKPVRSHKOX-UHFFFAOYSA-N,CN(C)C1=CC=C(C2=C(C3=CC=C(N(C)C)S3(=O)=O)C(=O)c3nccnc3C2=O)S1(=O)=O,,0.86
train,5254,PPBILDZLWZSUNQ-UHFFFAOYSA,C#CON1c2ccccc2N(C#CO)c2ccccc21,,1.11
train,4111,FOPSTGCKSBTWEJ-FMQUCBEESA-N,COc1ccc(-c2ccc(N=Nc3ccc(-c4ccc(OC)o4)s3)s2)o1,,0.36
